,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Kcnip4,0,4.345218619,0.982,0.218,0,M-MDSC,Kcnip4
Chil3,0,3.906972147,0.999,0.506,0,M-MDSC,Chil3
Plet1,0,3.676578645,0.987,0.175,0,M-MDSC,Plet1
Lpl,0,3.336151101,0.987,0.197,0,M-MDSC,Lpl
Lepr,0,3.161712516,0.91,0.121,0,M-MDSC,Lepr
Ear2,0,2.836214392,0.977,0.15,0,M-MDSC,Ear2
Nav2,0,2.755316822,0.912,0.183,0,M-MDSC,Nav2
Ctsk,0,2.441630512,0.911,0.133,0,M-MDSC,Ctsk
Plcb1,0,2.417823714,0.949,0.271,0,M-MDSC,Plcb1
Wwtr1,0,2.412562597,0.802,0.11,0,M-MDSC,Wwtr1
Mertk,0,2.397721527,0.967,0.27,0,M-MDSC,Mertk
Adgrl3,0,2.331074904,0.837,0.084,0,M-MDSC,Adgrl3
Mrc1,0,2.298241252,0.989,0.286,0,M-MDSC,Mrc1
Dst,0,2.286182553,0.971,0.295,0,M-MDSC,Dst
Bcar3,0,2.261878002,0.903,0.157,0,M-MDSC,Bcar3
Il18,0,2.226670071,0.951,0.147,0,M-MDSC,Il18
Slc7a2,0,2.082290034,0.971,0.35,0,M-MDSC,Slc7a2
Htr2c,0,2.065310093,0.816,0.037,0,M-MDSC,Htr2c
Cybb,0,2.024266496,0.993,0.533,0,M-MDSC,Cybb
Abcg1,0,2.021233904,0.966,0.288,0,M-MDSC,Abcg1
Atp6v0d2,0,2.017932134,0.966,0.196,0,M-MDSC,Atp6v0d2
Car4,0,2.015351487,0.77,0.059,0,M-MDSC,Car4
Abhd12,0,1.978480679,0.966,0.292,0,M-MDSC,Abhd12
Cpne8,0,1.943523619,0.902,0.103,0,M-MDSC,Cpne8
Pparg,0,1.940575457,0.848,0.111,0,M-MDSC,Pparg
Sgk1,0,1.927947809,0.989,0.433,0,M-MDSC,Sgk1
Nceh1,0,1.900828688,0.961,0.263,0,M-MDSC,Nceh1
Adarb1,0,1.895317437,0.882,0.082,0,M-MDSC,Adarb1
Dip2c,0,1.865003709,0.942,0.286,0,M-MDSC,Dip2c
Tcf7l2,0,1.845283236,0.976,0.371,0,M-MDSC,Tcf7l2
Krt79,0,1.817626101,0.687,0.041,0,M-MDSC,Krt79
Camk2d,0,1.811422712,0.966,0.373,0,M-MDSC,Camk2d
Ear1,0,1.807849368,0.777,0.043,0,M-MDSC,Ear1
Myo1e,0,1.772148611,0.954,0.366,0,M-MDSC,Myo1e
Tfec,0,1.76910214,0.881,0.237,0,M-MDSC,Tfec
Nrp2,0,1.764712974,0.888,0.252,0,M-MDSC,Nrp2
Ly751,0,1.748400948,0.921,0.152,0,M-MDSC,Ly75
Axl,0,1.746139527,0.95,0.238,0,M-MDSC,Axl
C530008M17Rik,0,1.710868769,0.781,0.034,0,M-MDSC,C530008M17Rik
Egfem1,0,1.687349276,0.396,0.02,0,M-MDSC,Egfem1
Hebp1,0,1.679508242,0.907,0.181,0,M-MDSC,Hebp1
Tbc1d9,0,1.670097956,0.908,0.271,0,M-MDSC,Tbc1d9
Clic4,0,1.653768836,0.987,0.568,0,M-MDSC,Clic4
Fabp1,0,1.650281149,0.64,0.039,0,M-MDSC,Fabp1
Cyb561a3,0,1.641672311,0.886,0.129,0,M-MDSC,Cyb561a3
Sh3bgrl,0,1.600189579,0.967,0.397,0,M-MDSC,Sh3bgrl
Acox1,0,1.578492481,0.895,0.197,0,M-MDSC,Acox1
Cd36,0,1.561433538,0.774,0.166,0,M-MDSC,Cd36
Abcc5,0,1.549917133,0.859,0.146,0,M-MDSC,Abcc5
Prdm1,0,1.534811672,0.841,0.238,0,M-MDSC,Prdm1
Lrp12,0,1.528340974,0.895,0.245,0,M-MDSC,Lrp12
St7,0,1.51859353,0.871,0.296,0,M-MDSC,St7
Dapk1,0,1.506353858,0.951,0.351,0,M-MDSC,Dapk1
Bckdhb,0,1.498956584,0.756,0.073,0,M-MDSC,Bckdhb
Mpeg1,0,1.464171329,0.982,0.496,0,M-MDSC,Mpeg1
Rasgef1b,0,1.450611166,0.912,0.369,0,M-MDSC,Rasgef1b
Lima1,0,1.449257095,0.842,0.174,0,M-MDSC,Lima1
Ereg,0,1.449180731,0.521,0.047,0,M-MDSC,Ereg
Ppp1r12b,0,1.441415288,0.838,0.184,0,M-MDSC,Ppp1r12b
Abhd17c,0,1.435271248,0.813,0.151,0,M-MDSC,Abhd17c
Lyz2,0,1.429746267,1,0.855,0,M-MDSC,Lyz2
Prkn,0,1.424197753,0.735,0.101,0,M-MDSC,Prkn
Ccnd21,0,1.412026282,0.884,0.229,0,M-MDSC,Ccnd2
mt-Nd4,0,1.408989713,0.993,0.689,0,M-MDSC,mt-Nd4
Baz1a,0,1.365552186,0.972,0.484,0,M-MDSC,Baz1a
Klhdc4,0,1.360199694,0.919,0.222,0,M-MDSC,Klhdc4
9.Sep,0,1.340461742,0.883,0.23,0,M-MDSC,9.Sep
Ext11,0,1.339568206,0.969,0.459,0,M-MDSC,Ext1
Shtn1,0,1.337302733,0.895,0.242,0,M-MDSC,Shtn1
Sort1,0,1.336553264,0.876,0.173,0,M-MDSC,Sort1
Plekhg1,0,1.333146285,0.81,0.169,0,M-MDSC,Plekhg1
F7,0,1.299993235,0.85,0.155,0,M-MDSC,F7
mt-Atp6,0,1.292672185,1,0.944,0,M-MDSC,mt-Atp6
Large11,0,1.278748436,0.853,0.225,0,M-MDSC,Large1
11.Sep,0,1.273603395,0.842,0.258,0,M-MDSC,11.Sep
Pde4d1,0,1.269896352,0.954,0.43,0,M-MDSC,Pde4d
Gmds,0,1.265895423,0.818,0.212,0,M-MDSC,Gmds
Adipor2,0,1.265224555,0.917,0.31,0,M-MDSC,Adipor2
Dock101,0,1.262894975,0.99,0.672,0,M-MDSC,Dock10
Pnpla8,0,1.26033073,0.928,0.342,0,M-MDSC,Pnpla8
Cd164,0,1.252940943,0.939,0.362,0,M-MDSC,Cd164
Lmo4,0,1.250624987,0.895,0.269,0,M-MDSC,Lmo4
Lncpint1,0,1.250597976,0.925,0.494,0,M-MDSC,Lncpint
Erc2,0,1.246165086,0.492,0.041,0,M-MDSC,Erc2
Lipa,0,1.244525855,0.9,0.273,0,M-MDSC,Lipa
Dbi,0,1.242741411,0.958,0.386,0,M-MDSC,Dbi
mt-Cytb,0,1.239043604,0.997,0.764,0,M-MDSC,mt-Cytb
Rnf1801,0,1.216965004,0.813,0.235,0,M-MDSC,Rnf180
Kcnq1ot1,0,1.210280232,0.707,0.149,0,M-MDSC,Kcnq1ot1
Cidec,0,1.209735042,0.674,0.024,0,M-MDSC,Cidec
Naaa,0,1.198184369,0.906,0.262,0,M-MDSC,Naaa
Hivep3,0,1.186169587,0.773,0.243,0,M-MDSC,Hivep3
mt-Nd1,0,1.185832447,0.993,0.7,0,M-MDSC,mt-Nd1
Cd302,0,1.185732821,0.838,0.252,0,M-MDSC,Cd302
Prkar2b,0,1.181815022,0.775,0.096,0,M-MDSC,Prkar2b
Prdx1,0,1.180245289,0.984,0.514,0,M-MDSC,Prdx1
Slc9a4,0,1.178114597,0.725,0.04,0,M-MDSC,Slc9a4
Mob3b,0,1.169223044,0.81,0.226,0,M-MDSC,Mob3b
Ctsd,0,1.167992345,0.998,0.789,0,M-MDSC,Ctsd
mt-Co2,0,1.166452358,0.998,0.884,0,M-MDSC,mt-Co2
Lpin1,0,1.164167026,0.721,0.099,0,M-MDSC,Lpin1
Ramp1,0,1.163951223,0.855,0.175,0,M-MDSC,Ramp1
Cyb5a,0,1.161830296,0.88,0.297,0,M-MDSC,Cyb5a
Ms4a8a,0,1.154946692,0.852,0.137,0,M-MDSC,Ms4a8a
Atxn1,0,1.145691872,0.966,0.517,0,M-MDSC,Atxn1
mt-Co1,0,1.144144305,0.996,0.841,0,M-MDSC,mt-Co1
Gdf15,0,1.142397565,0.605,0.141,0,M-MDSC,Gdf15
Nrg4,0,1.140239134,0.627,0.081,0,M-MDSC,Nrg4
